,Name,Position,Age,Height,FG%,3P%,AST,TOV,PTS,Tm,Rebounds,STL,BLK,Overall,PERSON_ID
481,Juancho Hernangomez,F,25,"6' 9""",0.185,0.167,0.2,0.3,1.1,BOS,1.4,0.2,0.1,15.584979379205558,1627823.0
482,Juancho Hernangomez,F,25,"6' 9""",0.333,0.0,0.6,0.4,1.4,SAS,3.0,0.2,0.2,18.222270457998697,1627823.0
483,Juancho Hernangomez,F,25,"6' 9""",0.507,0.438,0.8,0.5,6.2,UTA,3.5,0.5,0.4,45.96266550900803,1627823.0
484,Jaren Jackson Jr.,PF,21,"6' 11""",0.415,0.319,1.1,1.7,16.3,MEM,5.8,0.9,2.3,60.69025396136315,1628991.0
485,Tyus Jones,PG,25,"6' 0""",0.451,0.39,4.4,0.6,8.7,MEM,2.4000000000000004,0.9,0.0,51.910136748426304,1626145.0
486,John Konchar,SG,25,"6' 5""",0.515,0.413,1.5,0.4,4.8,MEM,4.6,0.6,0.3,46.602995441719116,
487,De'Anthony Melton,SG,23,"6' 2""",0.404,0.374,2.7,1.5,10.8,MEM,4.5,1.4,0.5,53.98306924245714,1629001.0
488,Sam Merrill,SG,25,"6' 4""",0.333,0.304,0.7,0.3,4.2,MEM,1.2,0.0,0.0,28.120251790753205,
489,Ja Morant,PG,22,"6' 3""",0.493,0.344,6.7,3.4,27.4,MEM,5.800000000000001,1.2,0.4,83.03668330800956,
490,Daniel Oturu,C,21,"6' 8""",0.5,0.0,0.0,0.0,3.0,TOR,1.6,0.0,0.7,23.551117864119817,
491,Yves Pons,G,22,"6' 6""",0.313,0.333,0.1,0.1,1.1,MEM,1.0,0.1,0.3,24.831777729542004,
492,Killian Tillie,C,23,"6' 9""",0.339,0.314,0.6,0.4,3.3,MEM,1.7000000000000002,0.6,0.4,31.245930106359886,
493,Ziaire Williams,SG,19,"6' 8""",0.45,0.314,1.0,0.7,8.1,MEM,2.1,0.6,0.2,40.720642500542645,
494,Nickeil Alexander-Walker,SG,23,"6' 6""",0.372,0.311,2.4,1.4,10.6,TOT,2.9,0.7,0.4,45.680486216626875,
495,Nickeil Alexander-Walker,SG,23,"6' 6""",0.375,0.311,2.8,1.7,12.8,NOP,3.3,0.8,0.4,49.79379205556761,
496,Nickeil Alexander-Walker,SG,23,"6' 6""",0.333,0.303,1.1,0.5,3.5,UTA,1.6,0.3,0.3,30.58389407423486,
497,Wenyen Gabriel,PF,24,"6' 9""",0.491,0.286,0.5,0.6,5.4,TOT,3.7,0.2,0.4,38.213588018233125,1629117.0
498,Wenyen Gabriel,PF,24,"6' 9""",0.0,0.0,0.0,0.0,0.0,BRK,1.0,0.0,0.0,1.085304970696766,1629117.0
499,Wenyen Gabriel,PF,24,"6' 9""",0.385,0.4,0.3,0.5,2.3,LAC,2.3,0.2,0.3,32.830475363577165,1629117.0
500,Wenyen Gabriel,PF,24,"6' 9""",0.505,0.261,0.6,0.7,6.7,LAL,4.3,0.2,0.5,40.46016930757543,1629117.0
501,Devonte' Graham,G,26,"6' 1""",0.363,0.341,4.2,1.4,11.9,NOP,2.3,0.9,0.2,51.03103972216192,1628984.0
502,Josh Hart,SG,26,"6' 5""",0.504,0.343,4.1,2.1,14.9,TOT,7.1,1.1,0.2,64.58649880616454,1628404.0
503,Josh Hart,SG,26,"6' 5""",0.505,0.323,4.1,2.0,13.4,NOP,7.8,1.1,0.3,63.42522248751899,1628404.0
504,Josh Hart,SG,26,"6' 5""",0.503,0.373,4.3,2.5,19.9,POR,5.4,1.2,0.2,69.87193401345777,1628404.0
505,Jaxson Hayes,C,21,"6' 11""",0.616,0.351,0.6,0.8,9.3,NOP,4.5,0.5,0.8,51.99696114608204,
506,Willy Hernangomez,C,27,"6' 11""",0.52,0.333,1.3,1.0,9.1,NOP,6.8,0.4,0.4,50.455828087692645,1626195.0
507,Brandon Ingram,SF,24,"6' 8""",0.461,0.327,5.6,2.7,22.7,NOP,5.8,0.6,0.5,72.32472324723247,1627742.0
508,Herbert Jones,SF,22,"6' 8""",0.476,0.337,2.1,1.3,9.5,NOP,3.8,1.7,0.8,53.60321250271326,
509,Kira Lewis Jr.,PG,20,"6' 1""",0.404,0.224,2.0,1.1,5.9,NOP,1.7000000000000002,0.5,0.0,34.6646407640547,
510,Didi Louzada,SF,22,"6' 5""",0.364,0.391,0.6,0.6,3.9,TOT,1.9,0.2,0.2,33.48165834599522,
511,Didi Louzada,SF,22,"6' 5""",0.0,0.0,0.5,0.0,0.0,NOP,1.0,0.0,0.0,2.170609941393532,
512,Didi Louzada,SF,22,"6' 5""",0.4,0.45,0.6,0.7,5.0,POR,2.1,0.3,0.3,38.63685695680486,
513,Naji Marshall,SF,23,"6' 7""",0.405,0.2,1.1,0.8,5.7,NOP,2.5999999999999996,0.6,0.1,33.37312784892555,
514,Trey Murphy III,SG,21,"6' 9""",0.394,0.382,0.6,0.3,5.4,NOP,2.4000000000000004,0.4,0.1,36.661601910136746,
515,Tomas Satoransky,SG,29,"6' 7""",0.377,0.208,3.3,0.8,3.6,TOT,2.3,0.5,0.1,34.56696331669199,203107.0
516,Tomas Satoransky,SG,29,"6' 7""",0.299,0.161,2.4,0.7,2.8,NOP,2.0,0.4,0.0,26.698502279140442,203107.0
517,Tomas Satoransky,SG,29,"6' 7""",0.0,0.0,0.0,0.0,3.0,SAS,1.0,0.0,0.0,4.341219882787064,203107.0
518,Tomas Satoransky,SG,29,"6' 7""",0.476,0.273,4.9,1.0,4.9,WAS,2.8,0.7,0.2,46.309963099631,203107.0
519,Garrett Temple,SF,35,"6' 5""",0.376,0.319,1.3,0.7,5.2,NOP,2.4,0.7,0.4,37.2802257434339,202066.0
520,Jonas Valanciunas,C,29,"6' 11""",0.544,0.361,2.6,2.4,17.8,NOP,11.4,0.6,0.8,71.35880182331235,202685.0
521,Keita Bates-Diop,SF,25,"6' 8""",0.517,0.309,0.7,0.8,5.7,SAS,4.0,0.5,0.2,41.21988278706316,1628966.0
522,Zach Collins,PF,23,"6' 11""",0.49,0.341,2.2,1.6,7.8,SAS,5.4,0.5,0.8,50.39070978945084,1628380.0
523,Drew Eubanks,PF,24,"6' 9""",0.596,0.217,1.2,1.1,7.7,TOT,5.3,0.4,0.6,46.4401996961146,1629234.0
524,Drew Eubanks,PF,24,"6' 9""",0.528,0.125,1.0,0.9,4.7,SAS,4.0,0.3,0.6,35.804210983286296,1629234.0
525,Drew Eubanks,PF,24,"6' 9""",0.646,0.267,1.6,1.6,14.5,POR,8.5,0.8,0.5,62.394182765357066,1629234.0
526,Bryn Forbes,SG,28,"6' 2""",0.429,0.414,1.0,0.7,8.8,TOT,1.2000000000000002,0.3,0.1,41.773388322118514,1627854.0
527,Bryn Forbes,SG,28,"6' 2""",0.432,0.417,1.0,0.8,9.1,SAS,1.6,0.4,0.1,43.0540481875407,1627854.0
528,Bryn Forbes,SG,28,"6' 2""",0.424,0.41,1.0,0.7,8.6,DEN,0.8999999999999999,0.2,0.1,40.61211200347298,1627854.0
529,DaQuan Jeffries,SG,24,"6' 5""",0.5,0.0,0.3,0.0,0.7,MEM,0.7,0.0,0.0,18.45018450184502,
530,Keldon Johnson,SF,21,"6' 5""",0.466,0.398,2.1,1.2,17.0,SAS,6.1,0.8,0.2,61.01584545257218,
531,Tre Jones,PG,21,"6' 1""",0.49,0.196,3.4,0.7,6.0,SAS,2.2,0.6,0.1,40.89429129585413,
532,Jock Landale,C,25,"6' 11""",0.495,0.326,0.8,0.6,4.9,SAS,2.5999999999999996,0.2,0.3,38.235294117647065,
533,Doug McDermott,SF,29,"6' 7""",0.462,0.422,1.3,0.8,11.3,SAS,2.3,0.3,0.1,47.66659431300195,203926.0
534,Dejounte Murray,PG,24,"6' 4""",0.462,0.327,9.2,2.6,21.1,SAS,8.299999999999999,2.0,0.3,85.05535055350552,1627749.0
535,Jakob Poeltl,C,25,"7' 1""",0.618,1.0,2.8,1.6,13.5,SAS,9.4,0.7,1.7,91.42609073149556,1627751.0
536,Joshua Primo,SG,18,"6' 6""",0.374,0.307,1.6,1.1,5.8,SAS,2.2,0.4,0.5,37.25851964401997,
537,Devin Vassell,SG,21,"6' 5""",0.427,0.361,1.9,0.8,12.3,SAS,4.3,1.1,0.6,53.33188626003908,
538,Lonnie Walker IV,SG,22,"6' 4""",0.407,0.314,2.2,1.0,12.1,SAS,2.5999999999999996,0.6,0.3,47.134794877360534,1629022.0
539,Derrick White,PG,27,"6' 4""",0.421,0.312,4.9,1.6,13.2,TOT,3.5,0.9,0.8,58.16149337963969,1628401.0
540,Derrick White,PG,27,"6' 4""",0.426,0.314,5.6,1.8,14.4,SAS,3.5,1.0,0.9,61.862383329715655,1628401.0
541,Derrick White,PG,27,"6' 4""",0.409,0.306,3.5,1.2,11.0,BOS,3.4,0.6,0.6,50.41241588886477,1628401.0
542,Joe Wieskamp,SF,22,"6' 6""",0.357,0.326,0.3,0.1,2.1,SAS,0.4,0.1,0.1,26.25352724115476,
543,Thaddeus Young,PF,33,"6' 8""",0.518,0.354,2.0,1.0,6.2,TOT,4.0,1.0,0.3,48.03559800303886,201152.0
544,Thaddeus Young,PF,33,"6' 8""",0.578,0.0,2.3,1.2,6.1,SAS,3.5,0.9,0.3,38.13761667028435,201152.0
545,Thaddeus Young,PF,33,"6' 8""",0.465,0.395,1.7,0.8,6.3,TOR,4.4,1.2,0.4,48.513132190145434,201152.0
546,Will Barton,SF,30,"6' 6""",0.438,0.365,3.9,1.8,14.7,DEN,4.8,0.8,0.4,59.68092033861514,203115.0
547,Bol Bol,C,21,"7' 2""",0.556,0.25,0.4,0.3,2.4,DEN,1.4000000000000001,0.1,0.1,31.88626003907098,
548,Facundo Campazzo,PG,30,"5' 10""",0.361,0.301,3.4,1.0,5.1,DEN,1.7999999999999998,1.0,0.4,40.98111569350987,
549,Vlatko Cancar,SF,24,"6' 8""",0.561,0.583,1.1,0.6,4.1,DEN,2.0,0.1,0.2,47.23247232472324,
550,PJ Dozier,SG,24,"6' 6""",0.364,0.313,1.6,0.7,5.4,DEN,3.5,0.6,0.3,38.105057521163445,1628408.0
551,Aaron Gordon,PF,25,"6' 8""",0.52,0.335,2.5,1.8,15.0,DEN,5.9,0.6,0.6,59.854569133926624,203932.0
552,JaMychal Green,PF,31,"6' 8""",0.486,0.266,0.9,0.9,6.4,DEN,4.2,0.6,0.4,41.19817668764923,203210.0
553,Jeff Green,PF,35,"6' 8""",0.524,0.315,1.3,0.9,10.3,DEN,3.0,0.4,0.4,47.17820707618841,201145.0
554,Shaquille Harrison,SG,27,"6' 7""",0.333,0.0,1.5,1.0,2.0,BRK,2.0,0.5,0.5,21.69524636422835,1627885.0
555,Markus Howard,PG,22,"5' 10""",0.386,0.4,0.2,0.2,4.1,DEN,0.4,0.3,0.0,31.88626003907098,
556,Nikola Jokic,C,26,"6' 11""",0.583,0.337,7.9,3.8,27.1,DEN,13.8,1.5,0.9,99.30540481875407,203999.0
557,Monte Morris,PG,26,"6' 2""",0.484,0.395,4.4,1.0,12.6,DEN,3.1,0.7,0.2,58.139787280225754,1628420.0
558,Zeke Nnaji,PF,20,"6' 9""",0.516,0.463,0.4,0.6,6.6,DEN,3.6,0.4,0.3,46.09290210549164,
559,Michael Porter Jr.,SF,23,"6' 10""",0.359,0.208,1.9,1.3,9.9,DEN,6.6,1.1,0.2,44.72541784241372,1629008.0
560,Austin Rivers,SG,29,"6' 4""",0.417,0.342,1.3,0.8,6.0,DEN,1.7,0.8,0.1,38.821358801823315,203085.0
561,Malik Beasley,SG,24,"6' 4""",0.391,0.377,1.5,0.5,12.1,MIN,2.8,0.5,0.2,46.7115259387888,1627736.0
562,Patrick Beverley,PG,33,"6' 1""",0.406,0.343,4.6,1.3,9.2,MIN,4.2,1.2,0.9,55.75211634469286,201976.0
563,Ed Davis,C,32,"6' 9""",0.688,0.0,0.2,0.2,0.9,CLE,2.1,0.1,0.3,27.39309746038636,202334.0
564,Anthony Edwards,SF,20,"6' 4""",0.441,0.357,3.8,2.6,21.3,MIN,4.8,1.5,0.6,69.3943998263512,
565,Nathan Knight,F,23,"6' 10""",0.511,0.308,0.6,0.5,3.7,MIN,2.3,0.2,0.2,35.78250488387237,
566,Jake Layman,SF,27,"6' 8""",0.411,0.229,0.3,0.3,2.4,MIN,1.1,0.2,0.1,26.264380290861734,1627774.0
567,Jaden McDaniels,PF,20,"6' 9""",0.46,0.317,1.1,1.1,9.2,MIN,4.2,0.7,0.8,47.1130887779466,
568,Jordan McLaughlin,PG,25,"5' 11""",0.44,0.318,2.9,0.6,3.8,MIN,1.6,0.9,0.2,40.416757108747554,
569,Jaylen Nowell,SG,22,"6' 4""",0.475,0.394,2.1,0.6,8.5,MIN,2.0,0.4,0.2,46.20143260256132,
570,Josh Okogie,SF,23,"6' 4""",0.404,0.298,0.5,0.5,2.7,MIN,1.4,0.5,0.2,30.670718471890602,1629006.0
571,Taurean Prince,PF,27,"6' 7""",0.454,0.376,1.0,0.8,7.3,MIN,2.5,0.7,0.3,43.0866073366616,1627752.0
572,Naz Reid,C,22,"6' 9""",0.489,0.343,0.9,1.1,8.3,MIN,3.9000000000000004,0.5,0.9,46.841762535272416,
573,D'Angelo Russell,PG,25,"6' 4""",0.411,0.34,7.1,2.5,18.1,MIN,3.3,1.0,0.3,67.32146733232038,1626156.0
574,Karl-Anthony Towns,C,25,"6' 11""",0.529,0.41,3.6,3.1,24.6,MIN,9.8,1.0,1.1,82.55914912090299,1626157.0
575,Jarred Vanderbilt,PF,22,"6' 9""",0.587,0.143,1.3,1.0,6.9,MIN,8.4,1.3,0.6,49.38137616670284,1629020.0
576,Darius Bazley,PF,21,"6' 8""",0.422,0.297,1.4,1.3,10.8,OKC,6.3,0.8,1.0,50.868243976557416,
577,Charlie Brown Jr.,F,24,"6' 6""",0.256,0.083,0.3,0.2,1.4,TOT,1.4,0.5,0.2,17.00672889081832,
578,Charlie Brown Jr.,F,24,"6' 6""",0.2,0.0,0.3,0.0,0.7,DAL,0.3,0.7,0.3,11.504232689385717,
579,Charlie Brown Jr.,F,24,"6' 6""",0.265,0.111,0.3,0.3,1.5,PHI,1.6,0.4,0.2,18.21141740829173,
580,Charlie Brown Jr.,SF,24,"6' 6""",0.256,0.083,0.3,0.2,1.4,TOT,1.4,0.5,0.2,17.00672889081832,
581,Charlie Brown Jr.,SF,24,"6' 6""",0.2,0.0,0.3,0.0,0.7,DAL,0.3,0.7,0.3,11.504232689385717,
582,Charlie Brown Jr.,SF,24,"6' 6""",0.265,0.111,0.3,0.3,1.5,PHI,1.6,0.4,0.2,18.21141740829173,
583,Gabriel Deck,SF,26,"6' 6""",0.571,0.5,0.7,0.3,2.6,OKC,0.7999999999999999,0.1,0.0,40.405904059040594,
584,Luguentz Dort,SF,22,"6' 3""",0.404,0.332,1.7,1.7,17.2,OKC,4.1,0.9,0.4,55.00325591491209,
585,Derrick Favors,C,30,"6' 9""",0.516,0.125,0.6,0.2,5.3,OKC,4.7,0.4,0.3,35.30497069676579,202324.0
586,Josh Giddey,SG,18,"6' 8""",0.419,0.263,6.4,3.2,12.5,OKC,7.8,0.9,0.4,62.36162361623616,
587,Shai Gilgeous-Alexander,SG,23,"6' 6""",0.453,0.3,5.9,2.8,24.5,OKC,5.0,1.3,0.8,76.17755589320598,1628983.0
588,Jaylen Hoard,SF,22,"6' 8""",0.489,0.36,2.4,1.1,14.7,OKC,12.0,0.9,0.7,67.03928803993921,
589,Ty Jerome,SG,24,"6' 5""",0.378,0.29,2.3,0.8,7.1,OKC,1.6,0.6,0.1,38.46320816149338,
590,Vit Krejci,F,21,"6' 8""",0.407,0.327,1.9,1.0,6.2,OKC,3.4,0.6,0.3,41.371825482960716,
591,Theo Maledon,PG,20,"6' 4""",0.375,0.293,2.2,1.3,7.1,OKC,2.6,0.6,0.2,39.65704362925982,
592,Tre Mann,PG,20,"6' 3""",0.393,0.36,1.5,1.2,10.4,OKC,2.8,0.8,0.2,45.354894725417836,
593,Mike Muscala,C,30,"6' 10""",0.456,0.429,0.5,0.3,8.0,OKC,3.0,0.4,0.6,45.09442153245061,203488.0
594,Svi Mykhailiuk,SG,24,"6' 7""",0.389,0.306,0.8,0.6,4.6,TOR,1.7000000000000002,0.5,0.1,33.15606685478619,1629004.0
595,Aleksej Pokusevski,PF,19,"7' 0""",0.408,0.289,2.1,1.5,7.6,OKC,5.2,0.6,0.6,45.05100933362275,
596,Jeremiah Robinson-Earl,PF,20,"6' 8""",0.414,0.352,1.0,0.8,7.5,OKC,5.6,0.6,0.3,44.258736705014115,
597,Isaiah Roby,C,23,"6' 8""",0.514,0.444,1.6,1.0,10.1,OKC,4.9,0.8,0.8,56.15367918385067,
598,Aaron Wiggins,SG,22,"6' 5""",0.463,0.304,1.4,1.1,8.3,OKC,3.5,0.6,0.2,43.42305187757759,
599,Kenrich Williams,SF,26,"6' 6""",0.461,0.339,2.2,0.9,7.4,OKC,4.5,0.9,0.2,47.319296722378986,1629026.0
600,Keljin Blevins,SF,25,"6' 4""",0.306,0.292,0.6,0.5,3.1,POR,1.4,0.4,0.0,26.95897547210766,
601,Robert Covington,PF,30,"6' 7""",0.42,0.378,1.3,1.1,8.5,TOT,5.5,1.5,1.3,53.114825265899725,203496.0
602,Robert Covington,PF,30,"6' 7""",0.381,0.343,1.4,1.2,7.6,POR,5.800000000000001,1.5,1.3,50.2713262426742,203496.0
603,Robert Covington,PF,30,"6' 7""",0.5,0.45,1.0,0.7,10.4,LAC,5.1,1.3,1.2,58.063815932276974,203496.0
604,CJ Elleby,SG,21,"6' 6""",0.393,0.294,1.5,1.0,5.8,POR,3.9,0.6,0.3,39.081831994790534,
605,Damian Lillard,PG,31,"6' 2""",0.402,0.324,7.3,2.9,24.0,POR,4.1000000000000005,0.6,0.4,73.23637942261774,203081.0
606,Nassir Little,SF,21,"6' 5""",0.46,0.331,1.3,1.0,9.8,POR,5.6,0.6,0.9,50.173648795311486,
607,CJ McCollum,SG,29,"6' 3""",0.46,0.388,5.1,2.0,22.1,TOT,4.4,1.1,0.4,72.32472324723247,203468.0
608,CJ McCollum,SG,29,"6' 3""",0.436,0.384,4.5,1.9,20.5,POR,4.2,1.0,0.6,68.48274365096592,203468.0
609,CJ McCollum,SG,29,"6' 3""",0.493,0.394,5.8,2.2,24.3,NOP,4.4,1.3,0.0,76.85044497503799,203468.0
610,Ben McLemore,SG,28,"6' 3""",0.401,0.362,0.9,0.9,10.2,POR,1.5999999999999999,0.6,0.2,42.207510310397225,203463.0
611,Larry Nance Jr.,PF,28,"6' 7""",0.522,0.329,1.8,0.8,7.0,TOT,5.4,0.9,0.4,49.30540481875408,1626204.0
612,Larry Nance Jr.,PF,28,"6' 7""",0.515,0.306,2.0,0.7,6.9,POR,5.699999999999999,1.0,0.4,49.30540481875407,1626204.0
613,Larry Nance Jr.,PF,28,"6' 7""",0.551,0.5,0.9,1.1,7.3,NOP,4.4,0.6,0.8,53.42956370740178,1626204.0
614,Jusuf Nurkic,C,27,"6' 11""",0.535,0.268,2.8,2.6,15.0,POR,11.1,1.1,0.6,66.08421966572607,203994.0
615,Norman Powell,SF,28,"6' 3""",0.461,0.419,2.1,1.5,19.0,TOT,3.1999999999999997,0.9,0.5,61.862383329715655,1626181.0
616,Norman Powell,SF,28,"6' 3""",0.456,0.406,2.1,1.6,18.7,POR,3.3,1.0,0.4,61.059257651400046,1626181.0
617,Norman Powell,SF,28,"6' 3""",0.508,0.542,2.8,1.4,21.4,LAC,2.8000000000000003,0.4,0.8,70.4362925982201,1626181.0
618,Anfernee Simons,SG,22,"6' 3""",0.443,0.405,3.9,2.0,17.3,POR,2.7,0.5,0.1,59.735185587149985,1629014.0
619,Tony Snell,SF,29,"6' 6""",0.404,0.352,0.5,0.4,3.5,TOT,1.9000000000000001,0.3,0.2,33.1886260039071,203503.0
620,Tony Snell,SF,29,"6' 6""",0.371,0.32,0.5,0.3,2.6,POR,1.9000000000000001,0.2,0.2,29.769915346212283,203503.0
621,Tony Snell,SF,29,"6' 6""",0.446,0.396,0.5,0.5,5.9,NOP,2.0,0.5,0.1,39.0275667462557,203503.0
622,Trendon Watford,F,20,"6' 9""",0.532,0.237,1.7,0.9,7.6,POR,4.2,0.5,0.6,45.11612763186456,
623,Cody Zeller,C,28,"6' 11""",0.567,0.0,0.8,0.7,5.2,POR,4.699999999999999,0.3,0.2,32.57000217060994,203469.0
624,Bojan Bogdanovic,SF,32,"6' 7""",0.455,0.387,1.7,1.7,18.1,UTA,4.2,0.5,0.0,56.93509876275233,202711.0
625,Jared Butler,SG,21,"6' 3""",0.404,0.318,1.5,0.8,3.8,UTA,1.1,0.4,0.2,34.03516388105058,
626,Jordan Clarkson,PG,29,"6' 4""",0.419,0.318,2.5,1.6,16.0,UTA,3.4000000000000004,0.8,0.2,53.733449099196875,203903.0
627,Mike Conley,PG,33,"6' 1""",0.435,0.408,5.3,1.7,13.7,UTA,3.0999999999999996,1.3,0.3,62.394182765357066,201144.0
628,Trent Forrest,SG,23,"6' 4""",0.49,0.185,1.8,0.8,3.3,UTA,1.7000000000000002,0.5,0.1,33.26459735185587,
629,Rudy Gay,SF,35,"6' 8""",0.414,0.345,1.0,0.9,8.1,UTA,4.4,0.5,0.3,43.0540481875407,200752.0
630,Rudy Gobert,C,29,"7' 1""",0.713,0.0,1.1,1.8,15.6,UTA,14.7,0.7,2.1,67.60364662470154,203497.0
631,Elijah Hughes,SF,23,"6' 5""",0.326,0.263,0.6,0.5,3.5,TOT,1.5999999999999999,0.4,0.2,27.96830909485566,
632,Elijah Hughes,SF,23,"6' 5""",0.417,0.357,0.4,0.5,3.1,UTA,1.2000000000000002,0.3,0.1,32.03820273496852,
633,Elijah Hughes,SF,23,"6' 5""",0.296,0.224,0.7,0.5,3.8,POR,1.9,0.5,0.3,27.24115476448882,
634,Joe Ingles,SG,33,"6' 8""",0.404,0.347,3.5,1.0,7.2,UTA,2.9,0.5,0.1,44.964184935967005,204060.0
635,Donovan Mitchell,SG,25,"6' 1""",0.448,0.355,5.3,3.0,25.9,UTA,4.2,1.5,0.2,75.85196440199697,1628378.0
636,Juwan Morgan,SF,24,"6' 7""",0.667,0.5,0.5,0.0,2.5,TOT,2.0,0.0,0.0,43.96570436292599,
637,Juwan Morgan,SF,24,"6' 7""",0.667,0.5,1.0,0.0,5.0,TOR,4.0,0.0,0.0,49.9348817017582,
638,Juwan Morgan,SF,24,"6' 7""",0.0,0.0,0.0,0.0,0.0,BOS,0.0,0.0,0.0,0.0,
639,Royce O'Neale,PF,28,"6' 4""",0.457,0.389,2.5,1.0,7.4,UTA,4.7,1.1,0.4,50.987627523334055,1626220.0
640,Eric Paschall,F,24,"6' 6""",0.485,0.37,0.6,0.5,5.8,UTA,1.8,0.2,0.1,38.365530714130664,
641,Hassan Whiteside,C,32,"7' 0""",0.652,0.0,0.4,0.8,8.2,UTA,7.6,0.3,1.6,45.430866073366616,202355.0
